date,value
12/22/2019,7143.2
12/21/2019,7190.17
12/20/2019,7150.86
12/19/2019,7284.29
12/18/2019,6612.12
12/17/2019,6879.54
12/16/2019,7111.14
12/15/2019,7067.74
12/14/2019,7251.87
12/13/2019,7189.16
12/12/2019,7202.31
12/11/2019,7220.76
12/10/2019,7337.42
12/9/2019,7522.39
12/8/2019,7504.83
12/7/2019,7547.19
12/6/2019,7395.97
12/5/2019,7192.85
12/4/2019,7296.77
12/3/2019,7309.59
12/2/2019,7402.69
12/1/2019,7557.72
11/30/2019,7757.47
11/29/2019,7431
11/28/2019,7523.83
11/27/2019,7163.63
11/26/2019,7130.25
11/25/2019,6907.4
11/24/2019,7324.03
11/23/2019,7286.35
11/22/2019,7617.07
11/21/2019,8081.81
11/20/2019,8120.8
11/19/2019,8175.99
11/18/2019,8503.93
11/17/2019,8482.7
11/16/2019,8457.69
11/15/2019,8632.32
11/14/2019,8762.42
11/13/2019,8801.52
11/12/2019,8717.81
11/11/2019,9037.12
11/10/2019,8809.41
11/9/2019,8766.04
11/8/2019,9204.24
11/7/2019,9343.34
11/6/2019,9310.19
11/5/2019,9418.05
11/4/2019,9206.16
11/3/2019,9301.18
11/2/2019,9252.99
11/1/2019,9147.98
10/31/2019,9164.62
10/30/2019,9433.35
10/29/2019,9218.76
10/28/2019,9551.54
10/27/2019,9259.8
10/26/2019,8666.79
10/25/2019,7431.88
10/24/2019,7469.56
10/23/2019,8026.76
10/22/2019,8222.52
10/21/2019,8231.06
10/20/2019,7960.04
10/19/2019,7954.15
10/18/2019,8076.78
10/17/2019,8002.51
10/16/2019,8162.16
10/15/2019,8353.54
10/14/2019,8283.76
10/13/2019,8308.01
10/12/2019,8269.73
10/11/2019,8586.9
10/10/2019,8587.92
10/9/2019,8190
10/8/2019,8212.02
10/7/2019,7869.74
10/6/2019,8147.69
10/5/2019,8155.48
10/4/2019,8236.17
10/3/2019,8382.03
10/2/2019,8322.92
10/1/2019,8307.74
9/30/2019,8056.74
9/29/2019,8225
9/28/2019,8193.9
9/27/2019,8055.64
9/26/2019,8432.23
9/25/2019,8553.61
9/24/2019,9683.38
9/23/2019,10033.05
9/22/2019,9979.49
9/21/2019,10173.11
9/20/2019,10275.88
9/19/2019,10157.59
9/18/2019,10190.36
9/17/2019,10265.63
9/16/2019,10310.43
9/15/2019,10361.33
9/14/2019,10363.9
9/13/2019,10420.16
9/12/2019,10159.32
9/11/2019,10101.03
9/10/2019,10313.66
9/9/2019,10406.31
9/8/2019,10487.21
9/7/2019,10317.47
9/6/2019,10577.8
9/5/2019,10584.16
9/4/2019,10621.29
9/3/2019,10386.64
9/2/2019,9769.79
9/1/2019,9600.9
8/31/2019,9577.99
8/30/2019,9484.55
8/29/2019,9717.82
8/28/2019,10171.95
8/27/2019,10360.28
8/26/2019,10135.06
8/25/2019,10143.8
8/24/2019,10405.81
8/23/2019,10111.98
8/22/2019,10129.4
8/21/2019,10760.56
8/20/2019,10917.26
8/19/2019,10317.6
8/18/2019,10214.52
8/17/2019,10359.44
8/16/2019,10302.17
8/15/2019,10016.96
8/14/2019,10858.12
8/13/2019,11386.26
8/12/2019,11566.84
8/11/2019,11282.22
8/10/2019,11856.64
8/9/2019,11996.41
8/8/2019,11960.82
8/7/2019,11465.67
8/6/2019,11787.99
8/5/2019,10980.23
8/4/2019,10814.57
8/3/2019,10529.55
8/2/2019,10407.17
8/1/2019,10084.7
7/31/2019,9589.13
7/30/2019,9501.33
7/29/2019,9530
7/28/2019,9473.99
7/27/2019,9848.65
7/26/2019,9875.17
7/25/2019,9772.17
7/24/2019,9844.3
7/23/2019,10323.62
7/22/2019,10587.41
7/21/2019,10764.9
7/20/2019,10535.75
7/19/2019,10638.56
7/18/2019,9674.28
7/17/2019,9397.72
7/16/2019,10873.5
7/15/2019,10186.96
7/14/2019,11389.1
7/13/2019,11803.97
7/12/2019,11352.87
7/11/2019,12099.9
7/10/2019,12586.78
7/9/2019,12313.08
7/8/2019,11477.01
7/7/2019,11232.04
7/6/2019,10955.16
7/5/2019,11160.49
7/4/2019,11984.76
7/3/2019,10805.4
7/2/2019,10578.72
7/1/2019,10737.73
6/30/2019,11890.38
6/29/2019,12374.35
6/28/2019,11132.85
6/27/2019,12932.55
6/26/2019,11766.4
6/25/2019,11017.5
6/24/2019,10814.48
6/23/2019,10668.63
6/22/2019,10209.38
6/21/2019,9531.35
6/20/2019,9281.7
6/19/2019,9076.18
6/18/2019,9327.48
6/17/2019,8978.99
6/16/2019,8859.47
6/15/2019,8693.6
6/14/2019,8237.88
6/13/2019,8173.06
6/12/2019,7917.58
6/11/2019,8020.38
6/10/2019,7640.61
6/9/2019,7931.34
6/8/2019,7998.29
6/7/2019,7803.23
6/6/2019,7786.04
6/5/2019,7675.8
6/4/2019,8134.92
6/3/2019,8739.03
6/2/2019,8554.8
6/1/2019,8553.81
